down | strategy | ncall | sigma_tot
0.91 | 0.00 | 70 | 104.422
0.91 | 0.00 | 80 | 104.475
0.91 | 1.00 | 70 | 104.422
0.91 | 1.00 | 80 | 104.475
0.91 | 2.00 | 70 | 104.030
0.91 | 2.00 | 80 | 104.136
0.92 | 0.00 | 70 | 104.411
0.92 | 0.00 | 80 | 104.472
0.92 | 1.00 | 70 | 104.411
0.92 | 1.00 | 80 | 104.472
0.92 | 2.00 | 70 | 104.025
0.92 | 2.00 | 80 | 104.147
0.92 | 2.00 | 90 | 104.101
0.93 | 0.00 | 70 | 104.395
0.93 | 0.00 | 80 | 104.464
0.93 | 0.00 | 90 | 104.441
0.93 | 1.00 | 70 | 104.395
0.93 | 1.00 | 80 | 104.464
0.93 | 1.00 | 90 | 104.441
0.93 | 2.00 | 70 | 104.021
0.93 | 2.00 | 80 | 104.165
0.93 | 2.00 | 90 | 104.290
0.93 | 2.00 | 100 | 104.290
0.94 | 0.00 | 70 | 104.375
0.94 | 0.00 | 80 | 104.441
0.94 | 0.00 | 90 | 104.573
0.94 | 1.00 | 70 | 104.375
0.94 | 1.00 | 80 | 104.441
0.94 | 1.00 | 90 | 104.573
0.94 | 2.00 | 70 | 104.022
0.94 | 2.00 | 80 | 104.315
0.94 | 2.00 | 90 | 104.290
0.94 | 2.00 | 100 | 104.262
0.95 | 0.00 | 70 | 104.498
0.95 | 0.00 | 80 | 104.487
0.95 | 0.00 | 90 | 104.437
0.95 | 0.00 | 100 | 104.587
0.95 | 1.00 | 70 | 104.498
0.95 | 1.00 | 80 | 104.487
0.95 | 1.00 | 90 | 104.437
0.95 | 1.00 | 100 | 104.587
0.95 | 2.00 | 70 | 102.443
0.95 | 2.00 | 80 | 103.251
0.95 | 2.00 | 90 | 103.587
0.95 | 2.00 | 100 | 103.685
0.96 | 0.00 | 70 | 104.479
0.96 | 0.00 | 80 | 104.451
0.96 | 0.00 | 90 | 104.415
0.96 | 0.00 | 100 | 104.505
0.96 | 1.00 | 70 | 104.479
0.96 | 1.00 | 80 | 104.451
0.96 | 1.00 | 90 | 104.415
0.96 | 1.00 | 100 | 104.505
0.96 | 2.00 | 70 | 102.448
0.96 | 2.00 | 80 | 103.269
0.96 | 2.00 | 90 | 103.592
0.96 | 2.00 | 100 | 103.642
0.97 | 0.00 | 70 | 104.387
0.97 | 0.00 | 80 | 104.376
0.97 | 0.00 | 90 | 104.363
0.97 | 0.00 | 100 | 103.883
0.97 | 1.00 | 70 | 104.387
0.97 | 1.00 | 80 | 104.376
0.97 | 1.00 | 90 | 104.363
0.97 | 1.00 | 100 | 103.883
0.97 | 2.00 | 70 | 103.372
0.97 | 2.00 | 80 | 103.843
0.97 | 2.00 | 90 | 103.843
0.97 | 2.00 | 100 | 103.841
0.97 | 2.00 | 150 | 104.248
0.98 | 0.00 | 70 | 104.266
0.98 | 0.00 | 80 | 104.297
0.98 | 0.00 | 90 | 104.131
0.98 | 0.00 | 100 | 104.107
0.98 | 0.00 | 150 | 104.020
0.98 | 0.00 | 200 | 104.022
0.98 | 0.00 | 250 | 104.022
0.98 | 1.00 | 70 | 104.266
0.98 | 1.00 | 80 | 104.297
0.98 | 1.00 | 90 | 104.131
0.98 | 1.00 | 100 | 104.131
0.98 | 1.00 | 150 | 104.042
0.98 | 1.00 | 200 | 104.029
0.98 | 1.00 | 250 | 104.029
0.98 | 2.00 | 70 | 103.779
0.98 | 2.00 | 80 | 103.917
0.98 | 2.00 | 90 | 103.917
0.98 | 2.00 | 100 | 103.923
0.98 | 2.00 | 150 | 104.146
0.98 | 2.00 | 200 | 104.068
0.98 | 2.00 | 250 | 103.993
0.99 | 0.00 | 70 | 103.965
0.99 | 0.00 | 80 | 104.065
0.99 | 0.00 | 90 | 104.102
0.99 | 0.00 | 100 | 104.103
0.99 | 0.00 | 150 | 104.061
0.99 | 0.00 | 200 | 104.061
0.99 | 0.00 | 250 | 104.061
0.99 | 1.00 | 70 | 103.965
0.99 | 1.00 | 80 | 104.065
0.99 | 1.00 | 90 | 104.102
0.99 | 1.00 | 100 | 104.103
0.99 | 1.00 | 150 | 104.061
0.99 | 1.00 | 200 | 104.061
0.99 | 1.00 | 250 | 104.061
0.99 | 2.00 | 70 | 103.862
0.99 | 2.00 | 80 | 104.185
0.99 | 2.00 | 90 | 104.051
0.99 | 2.00 | 100 | 104.041
0.99 | 2.00 | 150 | 104.090
0.99 | 2.00 | 200 | 104.014
0.99 | 2.00 | 250 | 104.022
1.00 | 0.00 | 70 | 103.846
1.00 | 0.00 | 80 | 103.846
1.00 | 0.00 | 90 | 103.846
1.00 | 0.00 | 100 | 103.846
1.00 | 0.00 | 150 | 103.846
1.00 | 0.00 | 200 | 103.846
1.00 | 0.00 | 250 | 103.846
1.00 | 1.00 | 70 | 103.846
1.00 | 1.00 | 80 | 103.846
1.00 | 1.00 | 90 | 103.846
1.00 | 1.00 | 100 | 103.846
1.00 | 1.00 | 150 | 103.846
1.00 | 1.00 | 200 | 103.846
1.00 | 1.00 | 250 | 103.846
1.00 | 2.00 | 70 | 103.846
1.00 | 2.00 | 80 | 103.846
1.00 | 2.00 | 90 | 103.846
1.00 | 2.00 | 100 | 103.846
1.00 | 2.00 | 150 | 103.846
1.00 | 2.00 | 200 | 103.846
1.00 | 2.00 | 250 | 103.846
