down | strategy | ncall | sigma_tot
0.91 | 0.00 | 70 | 109.955
0.91 | 0.00 | 80 | 109.311
0.91 | 0.00 | 90 | 109.311
0.91 | 0.00 | 100 | 108.837
0.91 | 0.00 | 150 | 108.604
0.91 | 0.00 | 200 | 108.437
0.91 | 0.00 | 250 | 108.813
0.91 | 1.00 | 70 | 109.955
0.91 | 1.00 | 80 | 109.311
0.91 | 1.00 | 90 | 109.311
0.91 | 1.00 | 100 | 108.837
0.91 | 1.00 | 150 | 108.604
0.91 | 1.00 | 200 | 108.437
0.91 | 1.00 | 250 | 108.813
0.91 | 2.00 | 150 | 111.325
0.91 | 2.00 | 200 | 109.491
0.91 | 2.00 | 250 | 109.084
0.92 | 0.00 | 70 | 109.956
0.92 | 0.00 | 80 | 109.355
0.92 | 0.00 | 90 | 109.355
0.92 | 0.00 | 100 | 109.002
0.92 | 0.00 | 150 | 108.615
0.92 | 0.00 | 200 | 108.540
0.92 | 0.00 | 250 | 108.609
0.92 | 1.00 | 70 | 109.956
0.92 | 1.00 | 80 | 109.355
0.92 | 1.00 | 90 | 109.355
0.92 | 1.00 | 100 | 109.002
0.92 | 1.00 | 150 | 108.615
0.92 | 1.00 | 200 | 108.540
0.92 | 1.00 | 250 | 108.609
0.92 | 2.00 | 150 | 110.353
0.92 | 2.00 | 200 | 109.037
0.92 | 2.00 | 250 | 108.633
0.93 | 0.00 | 70 | 109.956
0.93 | 0.00 | 80 | 109.410
0.93 | 0.00 | 90 | 109.410
0.93 | 0.00 | 100 | 109.126
0.93 | 0.00 | 150 | 108.709
0.93 | 0.00 | 200 | 108.593
0.93 | 0.00 | 250 | 108.658
0.93 | 1.00 | 70 | 109.956
0.93 | 1.00 | 80 | 109.410
0.93 | 1.00 | 90 | 109.410
0.93 | 1.00 | 100 | 109.126
0.93 | 1.00 | 150 | 108.709
0.93 | 1.00 | 200 | 108.593
0.93 | 1.00 | 250 | 108.658
0.93 | 2.00 | 150 | 109.420
0.93 | 2.00 | 200 | 108.521
0.93 | 2.00 | 250 | 108.629
0.94 | 0.00 | 70 | 109.956
0.94 | 0.00 | 80 | 109.477
0.94 | 0.00 | 90 | 109.477
0.94 | 0.00 | 100 | 109.238
0.94 | 0.00 | 150 | 108.785
0.94 | 0.00 | 200 | 108.639
0.94 | 0.00 | 250 | 108.587
0.94 | 1.00 | 70 | 109.956
0.94 | 1.00 | 80 | 109.477
0.94 | 1.00 | 90 | 109.477
0.94 | 1.00 | 100 | 109.238
0.94 | 1.00 | 150 | 108.785
0.94 | 1.00 | 200 | 108.639
0.94 | 1.00 | 250 | 108.587
0.94 | 2.00 | 100 | 109.611
0.94 | 2.00 | 150 | 109.161
0.94 | 2.00 | 200 | 108.784
0.94 | 2.00 | 250 | 108.605
0.95 | 0.00 | 70 | 109.956
0.95 | 0.00 | 80 | 109.477
0.95 | 0.00 | 90 | 109.477
0.95 | 0.00 | 100 | 109.268
0.95 | 0.00 | 150 | 108.889
0.95 | 0.00 | 200 | 108.765
0.95 | 0.00 | 250 | 108.655
0.95 | 1.00 | 70 | 109.956
0.95 | 1.00 | 80 | 109.477
0.95 | 1.00 | 90 | 109.477
0.95 | 1.00 | 100 | 109.268
0.95 | 1.00 | 150 | 108.889
0.95 | 1.00 | 200 | 108.765
0.95 | 1.00 | 250 | 108.655
0.95 | 2.00 | 100 | 110.290
0.95 | 2.00 | 150 | 109.093
0.95 | 2.00 | 200 | 108.958
0.95 | 2.00 | 250 | 108.786
0.96 | 0.00 | 70 | 109.957
0.96 | 0.00 | 80 | 109.503
0.96 | 0.00 | 90 | 109.503
0.96 | 0.00 | 100 | 109.294
0.96 | 0.00 | 150 | 108.988
0.96 | 0.00 | 200 | 108.879
0.96 | 0.00 | 250 | 108.843
0.96 | 1.00 | 70 | 109.957
0.96 | 1.00 | 80 | 109.503
0.96 | 1.00 | 90 | 109.503
0.96 | 1.00 | 100 | 109.294
0.96 | 1.00 | 150 | 108.988
0.96 | 1.00 | 200 | 108.879
0.96 | 1.00 | 250 | 108.843
0.96 | 2.00 | 80 | 110.423
0.96 | 2.00 | 90 | 110.423
0.96 | 2.00 | 100 | 110.450
0.96 | 2.00 | 150 | 109.264
0.96 | 2.00 | 200 | 109.024
0.96 | 2.00 | 250 | 108.910
0.97 | 0.00 | 70 | 109.959
0.97 | 0.00 | 80 | 109.581
0.97 | 0.00 | 90 | 109.581
0.97 | 0.00 | 100 | 109.443
0.97 | 0.00 | 150 | 109.207
0.97 | 0.00 | 200 | 109.118
0.97 | 0.00 | 250 | 109.094
0.97 | 1.00 | 70 | 109.959
0.97 | 1.00 | 80 | 109.581
0.97 | 1.00 | 90 | 109.581
0.97 | 1.00 | 100 | 109.443
0.97 | 1.00 | 150 | 109.207
0.97 | 1.00 | 200 | 109.118
0.97 | 1.00 | 250 | 109.094
0.97 | 2.00 | 80 | 110.172
0.97 | 2.00 | 90 | 110.172
0.97 | 2.00 | 100 | 110.368
0.97 | 2.00 | 150 | 109.392
0.97 | 2.00 | 200 | 109.145
0.97 | 2.00 | 250 | 109.051
0.98 | 0.00 | 70 | 109.964
0.98 | 0.00 | 80 | 109.674
0.98 | 0.00 | 90 | 109.597
0.98 | 0.00 | 100 | 109.524
0.98 | 0.00 | 150 | 109.361
0.98 | 0.00 | 200 | 109.351
0.98 | 0.00 | 250 | 109.352
0.98 | 1.00 | 70 | 109.964
0.98 | 1.00 | 80 | 109.674
0.98 | 1.00 | 90 | 109.597
0.98 | 1.00 | 100 | 109.524
0.98 | 1.00 | 150 | 109.361
0.98 | 1.00 | 200 | 109.355
0.98 | 1.00 | 250 | 109.351
0.98 | 2.00 | 80 | 110.020
0.98 | 2.00 | 90 | 110.020
0.98 | 2.00 | 100 | 110.249
0.98 | 2.00 | 150 | 109.418
0.98 | 2.00 | 200 | 109.232
0.98 | 2.00 | 250 | 109.214
0.99 | 0.00 | 70 | 109.993
0.99 | 0.00 | 80 | 110.004
0.99 | 0.00 | 90 | 109.650
0.99 | 0.00 | 100 | 109.650
0.99 | 0.00 | 150 | 109.556
0.99 | 0.00 | 200 | 109.533
0.99 | 0.00 | 250 | 109.524
0.99 | 1.00 | 70 | 109.993
0.99 | 1.00 | 80 | 110.004
0.99 | 1.00 | 90 | 109.650
0.99 | 1.00 | 100 | 109.650
0.99 | 1.00 | 150 | 109.601
0.99 | 1.00 | 200 | 109.577
0.99 | 1.00 | 250 | 109.551
0.99 | 2.00 | 80 | 109.799
0.99 | 2.00 | 90 | 110.070
0.99 | 2.00 | 100 | 110.044
0.99 | 2.00 | 150 | 109.622
0.99 | 2.00 | 200 | 109.532
0.99 | 2.00 | 250 | 109.514
1.00 | 0.00 | 70 | 109.949
1.00 | 0.00 | 80 | 109.949
1.00 | 0.00 | 90 | 109.949
1.00 | 0.00 | 100 | 109.949
1.00 | 0.00 | 150 | 109.949
1.00 | 0.00 | 200 | 109.949
1.00 | 0.00 | 250 | 109.949
1.00 | 1.00 | 70 | 109.949
1.00 | 1.00 | 80 | 109.949
1.00 | 1.00 | 90 | 109.949
1.00 | 1.00 | 100 | 109.949
1.00 | 1.00 | 150 | 109.949
1.00 | 1.00 | 200 | 109.949
1.00 | 1.00 | 250 | 109.949
1.00 | 2.00 | 70 | 109.949
1.00 | 2.00 | 80 | 109.949
1.00 | 2.00 | 90 | 109.949
1.00 | 2.00 | 100 | 109.949
1.00 | 2.00 | 150 | 109.949
1.00 | 2.00 | 200 | 109.949
1.00 | 2.00 | 250 | 109.949
