down | strategy | migrad
0.91 | 1 | 60
0.91 | 2 | 150
0.92 | 0 | 60
0.92 | 0 | 65
0.92 | 0 | 70
0.92 | 1 | 60
0.92 | 1 | 65
0.92 | 1 | 70
0.92 | 1 | 75
0.93 | 0 | 60
0.93 | 0 | 65
0.93 | 0 | 70
0.93 | 1 | 60
0.93 | 1 | 65
0.93 | 1 | 70
0.93 | 1 | 75
0.93 | 2 | 150
0.94 | 0 | 60
0.94 | 0 | 65
0.94 | 0 | 70
0.94 | 0 | 75
0.94 | 0 | 80
0.94 | 1 | 60
0.94 | 1 | 65
0.94 | 1 | 70
0.94 | 1 | 75
0.94 | 1 | 80
0.94 | 1 | 85
0.95 | 0 | 60
0.95 | 0 | 65
0.95 | 0 | 70
0.95 | 0 | 75
0.95 | 0 | 80
0.95 | 0 | 85
0.95 | 1 | 60
0.95 | 1 | 65
0.95 | 1 | 70
0.95 | 1 | 75
0.95 | 1 | 80
0.95 | 1 | 85
0.96 | 0 | 60
0.96 | 0 | 65
0.96 | 0 | 70
0.96 | 0 | 75
0.96 | 0 | 80
0.96 | 0 | 85
0.96 | 1 | 60
0.96 | 1 | 65
0.96 | 1 | 70
0.96 | 1 | 75
0.96 | 1 | 80
0.96 | 1 | 85
0.97 | 0 | 60
0.97 | 0 | 65
0.97 | 0 | 70
0.97 | 0 | 75
0.97 | 0 | 80
0.97 | 0 | 85
0.97 | 1 | 60
0.97 | 1 | 65
0.97 | 1 | 70
0.97 | 1 | 75
0.97 | 1 | 80
0.97 | 1 | 85
0.98 | 0 | 60
0.98 | 0 | 65
0.98 | 0 | 70
0.98 | 0 | 75
0.98 | 0 | 80
0.98 | 0 | 85
0.98 | 1 | 60
0.98 | 1 | 65
0.98 | 1 | 70
0.98 | 1 | 75
0.98 | 1 | 80
0.98 | 1 | 85
0.98 | 1 | 90
0.98 | 2 | 200
0.99 | 0 | 60
0.99 | 0 | 65
0.99 | 0 | 70
0.99 | 0 | 75
0.99 | 0 | 80
0.99 | 0 | 85
0.99 | 0 | 90
0.99 | 0 | 95
0.99 | 0 | 100
0.99 | 1 | 65
0.99 | 1 | 70
0.99 | 1 | 75
0.99 | 1 | 80
0.99 | 1 | 85
0.99 | 1 | 90
0.99 | 1 | 95
0.99 | 1 | 100
1.0 | 0 | 60
1.0 | 0 | 65
1.0 | 0 | 70
1.0 | 0 | 75
1.0 | 0 | 80
1.0 | 0 | 85
1.0 | 0 | 90
1.0 | 0 | 95
1.0 | 0 | 100
1.0 | 0 | 150
1.0 | 0 | 200
1.0 | 1 | 60
1.0 | 1 | 65
1.0 | 1 | 70
1.0 | 1 | 75
1.0 | 1 | 80
1.0 | 1 | 85
1.0 | 1 | 90
1.0 | 1 | 95
1.0 | 1 | 100
1.0 | 1 | 150
1.0 | 1 | 200
1.0 | 2 | 80
1.0 | 2 | 90
1.0 | 2 | 95
1.0 | 2 | 100
1.0 | 2 | 150
1.0 | 2 | 200
