Otimização para log em ATLAS - Limites: eps_1_mg_1_a2_1
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.91 | 1.0899999999999999 | 0 | 60 | 0.3571821478519146 ± 0.02477938284694184 | 0.07424016242261196 ± 0.00877531280556914 | 1.6911765084960253 ± 0.06290377052622491 | 2.7248685441191935 ± 0.35295410702000196 | 0.5368623291476962
0.91 | 1.0899999999999999 | 0 | 65 | 0.3568298968341491 ± 0.004644857387419682 | 0.07407586295687904 ± 0.002314424394466795 | 1.6908557209366668 ± 0.03905979979060042 | 2.7071943682145925 ± 0.2739282390620916 | 0.531483668485358
0.91 | 1.0899999999999999 | 0 | 70 | 0.3568298968341491 ± 0.004644857387419682 | 0.07407586295687904 ± 0.002314424394466795 | 1.6908557209366668 ± 0.03905979979060042 | 2.7071943682145925 ± 0.2739282390620916 | 0.531483668485358
0.91 | 1.0899999999999999 | 0 | 75 | 0.3568298968341491 ± 0.004644857387419682 | 0.07407586295687904 ± 0.002314424394466795 | 1.6908557209366668 ± 0.03905979979060042 | 2.7071943682145925 ± 0.2739282390620916 | 0.531483668485358
0.91 | 1.0899999999999999 | 0 | 80 | 0.35345272207175565 ± 0.0063124911693106245 | 0.07309779383599828 ± 0.002960159595264057 | 1.7312502555275049 ± 0.07755592200287886 | 2.3540173401888786 ± 0.3685407584422695 | 0.5005647599842334
0.91 | 1.0899999999999999 | 0 | 85 | 0.35345272207175565 ± 0.0063124911693106245 | 0.07309779383599828 ± 0.002960159595264057 | 1.7312502555275049 ± 0.07755592200287886 | 2.3540173401888786 ± 0.3685407584422695 | 0.5005647599842334
0.91 | 1.0899999999999999 | 0 | 90 | 0.35345272207175565 ± 0.0063124911693106245 | 0.07309779383599828 ± 0.002960159595264057 | 1.7312502555275049 ± 0.07755592200287886 | 2.3540173401888786 ± 0.3685407584422695 | 0.5005647599842334
0.91 | 1.0899999999999999 | 0 | 95 | 0.35345272207175565 ± 0.0063124911693106245 | 0.07309779383599828 ± 0.002960159595264057 | 1.7312502555275049 ± 0.07755592200287886 | 2.3540173401888786 ± 0.3685407584422695 | 0.5005647599842334
0.91 | 1.0899999999999999 | 1 | 60 | 0.35718214594115216 ± 0.02477225870776334 | 0.0742401616497521 ± 0.008777228639781295 | 1.691176465695947 ± 0.06288710812754619 | 2.724868522819603 ± 0.35299104105677714 | 0.5368622672359675
0.91 | 1.0899999999999999 | 1 | 65 | 0.35718214594115216 ± 0.02477225870776334 | 0.0742401616497521 ± 0.008777228639781295 | 1.691176465695947 ± 0.06288710812754619 | 2.724868522819603 ± 0.35299104105677714 | 0.5368622672359675
0.91 | 1.0899999999999999 | 1 | 70 | 0.35718214594115216 ± 0.02477225870776334 | 0.0742401616497521 ± 0.008777228639781295 | 1.691176465695947 ± 0.06288710812754619 | 2.724868522819603 ± 0.35299104105677714 | 0.5368622672359675
0.91 | 1.0899999999999999 | 1 | 75 | 0.3568299000764033 ± 0.004644858350656256 | 0.07407586460666415 ± 0.0023144246934104842 | 1.6908557809022584 ± 0.0390597749854918 | 2.707194603400933 ± 0.2739290847352396 | 0.5314836730427346
0.91 | 1.0899999999999999 | 1 | 80 | 0.3568299000764033 ± 0.004644858350656256 | 0.07407586460666415 ± 0.0023144246934104842 | 1.6908557809022584 ± 0.0390597749854918 | 2.707194603400933 ± 0.2739290847352396 | 0.5314836730427346
0.91 | 1.0899999999999999 | 1 | 85 | 0.3568299000764033 ± 0.004644858350656256 | 0.07407586460666415 ± 0.0023144246934104842 | 1.6908557809022584 ± 0.0390597749854918 | 2.707194603400933 ± 0.2739290847352396 | 0.5314836730427346
0.91 | 1.0899999999999999 | 1 | 90 | 0.3534502304025002 ± 0.006309901498124021 | 0.07309704980706035 ± 0.002959511685276417 | 1.7312785435928932 ± 0.07741221026448919 | 2.3537623801608016 ± 0.36908537798883767 | 0.5005556967654265
0.91 | 1.0899999999999999 | 1 | 95 | 0.3534502304025002 ± 0.006309901498124021 | 0.07309704980706035 ± 0.002959511685276417 | 1.7312785435928932 ± 0.07741221026448919 | 2.3537623801608016 ± 0.36908537798883767 | 0.5005556967654265
0.91 | 1.0899999999999999 | 1 | 100 | 0.3534502304025002 ± 0.006309901498124021 | 0.07309704980706035 ± 0.002959511685276417 | 1.7312785435928932 ± 0.07741221026448919 | 2.3537623801608016 ± 0.36908537798883767 | 0.5005556967654265
0.91 | 1.0899999999999999 | 2 | 85 | 0.3570386393819955 ± 0.0070671401537935885 | 0.07490612392186972 ± 0.0034095117403053904 | 1.76158981596743 ± 0.05850098888229262 | 2.446367267280733 ± 0.3625462733708831 | 0.6438244252984665
0.91 | 1.0899999999999999 | 2 | 90 | 0.3570386393819955 ± 0.0070671401537935885 | 0.07490612392186972 ± 0.0034095117403053904 | 1.76158981596743 ± 0.05850098888229262 | 2.446367267280733 ± 0.3625462733708831 | 0.6438244252984665
0.91 | 1.0899999999999999 | 2 | 95 | 0.35718449071957126 ± 0.004505382194008922 | 0.07482828535717077 ± 0.0023609214453360755 | 1.7447557567050722 ± 0.18677045352806154 | 2.4228878482139566 ± 0.2547990750148934 | 0.5802395330204354
0.91 | 1.0899999999999999 | 2 | 100 | 0.35718449071957126 ± 0.004505382194008922 | 0.07482828535717077 ± 0.0023609214453360755 | 1.7447557567050722 ± 0.18677045352806154 | 2.4228878482139566 ± 0.2547990750148934 | 0.5802395330204354
0.91 | 1.0899999999999999 | 2 | 150 | 0.35434838638600646 ± 0.006473889655123827 | 0.0736973863995454 ± 0.003158664841128367 | 1.74253544419531 ± 0.04130779146165026 | 2.2866349865974303 ± 0.4273738763323227 | 0.5324544551043446
0.91 | 1.0899999999999999 | 2 | 200 | 0.35343939823204096 ± 0.0061557204991221914 | 0.07314034978799523 ± 0.0029412018661474013 | 1.7347334826954708 ± 0.06377158492781286 | 2.331096751663882 ± 0.36510907779647006 | 0.5040570920714602
0.92 | 1.08 | 0 | 60 | 0.35709983234731585 ± 0.0047711226690769215 | 0.07424920961787401 ± 0.0023595909804934867 | 1.6960998044147402 ± 0.036665788328524206 | 2.694695614993298 ± 0.28995886489944067 | 0.5379684283635394
0.92 | 1.08 | 0 | 65 | 0.35709983234731585 ± 0.0047711226690769215 | 0.07424920961787401 ± 0.0023595909804934867 | 1.6960998044147402 ± 0.036665788328524206 | 2.694695614993298 ± 0.28995886489944067 | 0.5379684283635394
0.92 | 1.08 | 0 | 70 | 0.35709983234731585 ± 0.0047711226690769215 | 0.07424920961787401 ± 0.0023595909804934867 | 1.6960998044147402 ± 0.036665788328524206 | 2.694695614993298 ± 0.28995886489944067 | 0.5379684283635394
0.92 | 1.08 | 0 | 75 | 0.3568998648392055 ± 0.004995970621582302 | 0.07411931630292723 ± 0.0024658874274845546 | 1.6929660897132757 ± 0.03520984989905424 | 2.6998910447643563 ± 0.28936767977770605 | 0.5347108973971862
0.92 | 1.08 | 0 | 80 | 0.3568998648392055 ± 0.004995970621582302 | 0.07411931630292723 ± 0.0024658874274845546 | 1.6929660897132757 ± 0.03520984989905424 | 2.6998910447643563 ± 0.28936767977770605 | 0.5347108973971862
0.92 | 1.08 | 0 | 85 | 0.3558276375517348 ± 0.012986656242041122 | 0.07372730842963389 ± 0.008225473014213884 | 1.6965059069847424 ± 0.06029603023440116 | 2.6272256038844244 ± 0.3612531627902178 | 0.5156852673049216
0.92 | 1.08 | 0 | 90 | 0.3558276375517348 ± 0.012986656242041122 | 0.07372730842963389 ± 0.008225473014213884 | 1.6965059069847424 ± 0.06029603023440116 | 2.6272256038844244 ± 0.3612531627902178 | 0.5156852673049216
0.92 | 1.08 | 0 | 95 | 0.3558276375517348 ± 0.012986656242041122 | 0.07372730842963389 ± 0.008225473014213884 | 1.6965059069847424 ± 0.06029603023440116 | 2.6272256038844244 ± 0.3612531627902178 | 0.5156852673049216
0.92 | 1.08 | 0 | 100 | 0.3558276375517348 ± 0.012986656242041122 | 0.07372730842963389 ± 0.008225473014213884 | 1.6965059069847424 ± 0.06029603023440116 | 2.6272256038844244 ± 0.3612531627902178 | 0.5156852673049216
0.92 | 1.08 | 1 | 60 | 0.3573915344421683 ± 0.011348978344039778 | 0.07451642816735975 ± 0.004992545962876502 | 1.7045592864729575 ± 0.07890650313975327 | 2.648020656304848 ± 0.3730371899895275 | 0.548295045450633
0.92 | 1.08 | 1 | 65 | 0.3570998339536107 ± 0.004770441618584836 | 0.0742492100976794 ± 0.002359274474328002 | 1.696099619478508 ± 0.0366735364031366 | 2.694695568027052 ± 0.29009573137980893 | 0.5379684542875021
