down | strategy | ncall | sigma_tot
0.91 | 0.00 | 60 | 103.957
0.91 | 0.00 | 65 | 103.918
0.91 | 0.00 | 70 | 103.918
0.91 | 0.00 | 75 | 103.918
0.91 | 0.00 | 80 | 104.337
0.91 | 0.00 | 85 | 104.337
0.91 | 0.00 | 90 | 104.337
0.91 | 0.00 | 95 | 104.337
0.91 | 1.00 | 60 | 103.957
0.91 | 1.00 | 65 | 103.957
0.91 | 1.00 | 70 | 103.957
0.91 | 1.00 | 75 | 103.918
0.91 | 1.00 | 80 | 103.918
0.91 | 1.00 | 85 | 103.918
0.91 | 1.00 | 90 | 104.338
0.91 | 1.00 | 95 | 104.338
0.91 | 1.00 | 100 | 104.338
0.91 | 2.00 | 85 | 104.940
0.91 | 2.00 | 90 | 104.940
0.91 | 2.00 | 95 | 104.397
0.91 | 2.00 | 100 | 104.397
0.91 | 2.00 | 150 | 104.429
0.91 | 2.00 | 200 | 104.369
0.92 | 0.00 | 60 | 103.986
0.92 | 0.00 | 65 | 103.986
0.92 | 0.00 | 70 | 103.986
0.92 | 0.00 | 75 | 103.924
0.92 | 0.00 | 80 | 103.924
0.92 | 0.00 | 85 | 103.981
0.92 | 0.00 | 90 | 103.981
0.92 | 0.00 | 95 | 103.981
0.92 | 0.00 | 100 | 103.981
0.92 | 1.00 | 60 | 104.114
0.92 | 1.00 | 65 | 103.986
0.92 | 1.00 | 70 | 103.986
0.92 | 1.00 | 75 | 103.986
0.92 | 1.00 | 80 | 103.924
0.92 | 1.00 | 85 | 103.924
0.92 | 1.00 | 90 | 103.924
0.92 | 1.00 | 95 | 103.981
0.92 | 1.00 | 100 | 103.981
0.92 | 2.00 | 75 | 104.097
0.92 | 2.00 | 80 | 104.097
0.92 | 2.00 | 85 | 104.097
0.92 | 2.00 | 90 | 104.185
0.92 | 2.00 | 95 | 104.185
0.92 | 2.00 | 100 | 104.102
0.93 | 0.00 | 60 | 104.102
0.93 | 0.00 | 65 | 104.069
0.93 | 0.00 | 70 | 104.069
0.93 | 1.00 | 60 | 104.102
0.93 | 1.00 | 65 | 104.069
0.93 | 1.00 | 70 | 104.069
0.93 | 1.00 | 75 | 104.069
0.93 | 2.00 | 75 | 103.790
0.93 | 2.00 | 80 | 103.790
0.93 | 2.00 | 85 | 103.790
0.93 | 2.00 | 90 | 103.790
0.93 | 2.00 | 95 | 104.886
0.93 | 2.00 | 100 | 104.886
0.93 | 2.00 | 150 | 104.560
0.94 | 0.00 | 60 | 104.124
0.94 | 0.00 | 65 | 104.092
0.94 | 0.00 | 70 | 104.092
0.94 | 0.00 | 75 | 103.860
0.94 | 0.00 | 80 | 103.860
0.94 | 0.00 | 85 | 103.860
0.94 | 1.00 | 60 | 104.124
0.94 | 1.00 | 65 | 104.124
0.94 | 1.00 | 70 | 104.092
0.94 | 1.00 | 75 | 104.092
0.94 | 1.00 | 80 | 103.860
0.94 | 1.00 | 85 | 103.860
0.94 | 1.00 | 90 | 103.860
0.94 | 2.00 | 80 | 104.074
0.94 | 2.00 | 85 | 104.074
0.94 | 2.00 | 90 | 103.999
0.94 | 2.00 | 95 | 103.999
0.94 | 2.00 | 100 | 104.141
0.95 | 0.00 | 60 | 104.172
0.95 | 0.00 | 65 | 104.076
0.95 | 0.00 | 70 | 104.076
0.95 | 0.00 | 75 | 104.076
0.95 | 0.00 | 80 | 104.044
0.95 | 0.00 | 85 | 104.044
0.95 | 0.00 | 90 | 104.367
0.95 | 0.00 | 95 | 104.367
0.95 | 0.00 | 100 | 104.367
0.95 | 0.00 | 150 | 104.445
0.95 | 1.00 | 60 | 104.172
0.95 | 1.00 | 65 | 104.076
0.95 | 1.00 | 70 | 104.076
0.95 | 1.00 | 75 | 104.076
0.95 | 1.00 | 80 | 104.076
0.95 | 1.00 | 85 | 104.044
0.95 | 1.00 | 90 | 104.044
0.95 | 1.00 | 95 | 104.369
0.95 | 1.00 | 100 | 104.369
0.95 | 1.00 | 150 | 104.387
0.95 | 2.00 | 75 | 103.593
0.95 | 2.00 | 80 | 103.593
0.95 | 2.00 | 85 | 103.593
0.95 | 2.00 | 90 | 104.096
0.95 | 2.00 | 95 | 104.096
0.95 | 2.00 | 100 | 104.133
0.96 | 0.00 | 60 | 104.148
0.96 | 0.00 | 65 | 104.148
0.96 | 0.00 | 70 | 104.223
0.96 | 0.00 | 75 | 104.223
0.96 | 0.00 | 80 | 104.283
0.96 | 0.00 | 85 | 104.283
0.96 | 0.00 | 90 | 104.283
0.96 | 0.00 | 95 | 104.180
0.96 | 0.00 | 100 | 104.180
0.96 | 1.00 | 60 | 104.148
0.96 | 1.00 | 65 | 104.148
0.96 | 1.00 | 70 | 104.148
0.96 | 1.00 | 75 | 104.223
0.96 | 1.00 | 80 | 104.223
0.96 | 1.00 | 85 | 104.283
0.96 | 1.00 | 90 | 104.283
0.96 | 1.00 | 95 | 104.283
0.96 | 1.00 | 100 | 104.180
0.96 | 2.00 | 95 | 104.185
0.96 | 2.00 | 100 | 104.185
0.96 | 2.00 | 150 | 104.175
0.97 | 0.00 | 60 | 104.217
0.97 | 0.00 | 65 | 104.217
0.97 | 0.00 | 70 | 104.139
0.97 | 0.00 | 75 | 104.139
0.97 | 0.00 | 80 | 104.139
0.97 | 0.00 | 85 | 104.104
0.97 | 0.00 | 90 | 104.104
0.97 | 0.00 | 95 | 104.193
0.97 | 0.00 | 100 | 104.193
0.97 | 0.00 | 150 | 104.414
0.97 | 0.00 | 200 | 104.347
0.97 | 1.00 | 60 | 104.178
0.97 | 1.00 | 65 | 104.178
0.97 | 1.00 | 70 | 104.217
0.97 | 1.00 | 75 | 104.217
0.97 | 1.00 | 80 | 104.139
0.97 | 1.00 | 85 | 104.139
0.97 | 1.00 | 90 | 104.104
0.97 | 1.00 | 95 | 104.104
0.97 | 1.00 | 100 | 104.193
0.97 | 1.00 | 150 | 104.405
0.97 | 1.00 | 200 | 104.417
0.97 | 2.00 | 150 | 104.296
0.97 | 2.00 | 200 | 104.197
0.98 | 0.00 | 60 | 104.158
0.98 | 0.00 | 65 | 104.281
0.98 | 0.00 | 70 | 104.281
0.98 | 0.00 | 75 | 104.179
0.98 | 0.00 | 80 | 104.179
0.98 | 0.00 | 85 | 104.179
0.98 | 0.00 | 90 | 104.125
0.98 | 0.00 | 95 | 104.125
0.98 | 0.00 | 100 | 104.159
0.98 | 0.00 | 150 | 104.205
0.98 | 0.00 | 200 | 104.377
0.98 | 1.00 | 60 | 104.158
0.98 | 1.00 | 65 | 104.158
0.98 | 1.00 | 70 | 104.158
0.98 | 1.00 | 75 | 104.281
0.98 | 1.00 | 80 | 104.281
0.98 | 1.00 | 85 | 104.179
0.98 | 1.00 | 90 | 104.179
0.98 | 1.00 | 95 | 104.125
0.98 | 1.00 | 100 | 104.125
0.98 | 1.00 | 150 | 104.182
0.98 | 1.00 | 200 | 104.377
0.98 | 2.00 | 150 | 104.278
0.98 | 2.00 | 200 | 104.190
0.99 | 0.00 | 60 | 104.477
0.99 | 0.00 | 65 | 104.245
0.99 | 0.00 | 70 | 104.245
0.99 | 0.00 | 75 | 104.275
0.99 | 0.00 | 80 | 104.275
0.99 | 0.00 | 85 | 104.235
0.99 | 0.00 | 90 | 104.235
0.99 | 0.00 | 95 | 104.235
0.99 | 0.00 | 100 | 104.235
0.99 | 0.00 | 150 | 104.275
0.99 | 0.00 | 200 | 104.242
0.99 | 1.00 | 60 | 104.477
0.99 | 1.00 | 65 | 104.477
0.99 | 1.00 | 70 | 104.245
0.99 | 1.00 | 75 | 104.245
0.99 | 1.00 | 80 | 104.245
0.99 | 1.00 | 85 | 104.275
0.99 | 1.00 | 90 | 104.275
0.99 | 1.00 | 95 | 104.235
0.99 | 1.00 | 100 | 104.235
0.99 | 1.00 | 150 | 104.273
0.99 | 1.00 | 200 | 104.241
0.99 | 2.00 | 85 | 104.096
0.99 | 2.00 | 90 | 104.096
0.99 | 2.00 | 95 | 104.096
0.99 | 2.00 | 100 | 104.096
0.99 | 2.00 | 150 | 104.118
0.99 | 2.00 | 200 | 104.268
