down | strategy | ncall | sigma_tot
0.91 | 1.09 | 0 | 107.071
0.91 | 1.09 | 0 | 107.071
0.91 | 1.09 | 0 | 107.335
0.91 | 1.09 | 0 | 107.335
0.91 | 1.09 | 0 | 107.314
0.91 | 1.09 | 0 | 107.314
0.91 | 1.09 | 1 | 107.071
0.91 | 1.09 | 1 | 107.071
0.91 | 1.09 | 1 | 107.335
0.91 | 1.09 | 1 | 107.335
0.91 | 1.09 | 1 | 107.314
0.91 | 1.09 | 1 | 107.314
0.91 | 1.09 | 2 | 108.376
0.92 | 1.08 | 0 | 107.071
0.92 | 1.08 | 0 | 107.071
0.92 | 1.08 | 0 | 107.335
0.92 | 1.08 | 0 | 107.335
0.92 | 1.08 | 0 | 107.314
0.92 | 1.08 | 0 | 107.314
0.92 | 1.08 | 1 | 107.071
0.92 | 1.08 | 1 | 107.071
0.92 | 1.08 | 1 | 107.335
0.92 | 1.08 | 1 | 107.335
0.92 | 1.08 | 1 | 107.314
0.92 | 1.08 | 1 | 107.314
0.92 | 1.08 | 2 | 108.376
0.93 | 1.07 | 0 | 107.071
0.93 | 1.07 | 0 | 107.071
0.93 | 1.07 | 0 | 107.335
0.93 | 1.07 | 0 | 107.335
0.93 | 1.07 | 0 | 107.314
0.93 | 1.07 | 0 | 107.314
0.93 | 1.07 | 1 | 107.071
0.93 | 1.07 | 1 | 107.071
0.93 | 1.07 | 1 | 107.335
0.93 | 1.07 | 1 | 107.335
0.93 | 1.07 | 1 | 107.314
0.93 | 1.07 | 1 | 107.314
0.93 | 1.07 | 2 | 108.376
0.94 | 1.06 | 0 | 107.071
0.94 | 1.06 | 0 | 107.071
0.94 | 1.06 | 0 | 107.335
0.94 | 1.06 | 0 | 107.335
0.94 | 1.06 | 0 | 107.314
0.94 | 1.06 | 0 | 107.314
0.94 | 1.06 | 1 | 107.071
0.94 | 1.06 | 1 | 107.071
0.94 | 1.06 | 1 | 107.335
0.94 | 1.06 | 1 | 107.335
0.94 | 1.06 | 1 | 107.314
0.94 | 1.06 | 1 | 107.314
0.94 | 1.06 | 2 | 108.376
0.95 | 1.05 | 0 | 107.071
0.95 | 1.05 | 0 | 107.071
0.95 | 1.05 | 0 | 107.335
0.95 | 1.05 | 0 | 107.335
0.95 | 1.05 | 0 | 107.314
0.95 | 1.05 | 0 | 107.314
0.95 | 1.05 | 1 | 107.071
0.95 | 1.05 | 1 | 107.071
0.95 | 1.05 | 1 | 107.335
0.95 | 1.05 | 1 | 107.335
0.95 | 1.05 | 1 | 107.314
0.95 | 1.05 | 1 | 107.314
0.95 | 1.05 | 2 | 108.376
0.96 | 1.04 | 0 | 107.071
0.96 | 1.04 | 0 | 107.071
0.96 | 1.04 | 0 | 107.335
0.96 | 1.04 | 0 | 107.335
0.96 | 1.04 | 0 | 107.314
0.96 | 1.04 | 0 | 107.314
0.96 | 1.04 | 1 | 107.071
0.96 | 1.04 | 1 | 107.071
0.96 | 1.04 | 1 | 107.335
0.96 | 1.04 | 1 | 107.335
0.96 | 1.04 | 1 | 107.314
0.96 | 1.04 | 1 | 107.314
0.96 | 1.04 | 2 | 108.376
0.97 | 1.03 | 0 | 107.071
0.97 | 1.03 | 0 | 107.071
0.97 | 1.03 | 0 | 107.335
0.97 | 1.03 | 0 | 107.335
0.97 | 1.03 | 0 | 107.314
0.97 | 1.03 | 0 | 107.314
0.97 | 1.03 | 1 | 107.071
0.97 | 1.03 | 1 | 107.071
0.97 | 1.03 | 1 | 107.335
0.97 | 1.03 | 1 | 107.335
0.97 | 1.03 | 1 | 107.314
0.97 | 1.03 | 1 | 107.314
0.97 | 1.03 | 2 | 108.376
0.98 | 1.02 | 0 | 107.071
0.98 | 1.02 | 0 | 107.071
0.98 | 1.02 | 0 | 107.335
0.98 | 1.02 | 0 | 107.335
0.98 | 1.02 | 0 | 107.314
0.98 | 1.02 | 0 | 107.314
0.98 | 1.02 | 1 | 107.071
0.98 | 1.02 | 1 | 107.071
0.98 | 1.02 | 1 | 107.335
0.98 | 1.02 | 1 | 107.335
0.98 | 1.02 | 1 | 107.314
0.98 | 1.02 | 1 | 107.314
0.98 | 1.02 | 2 | 108.376
0.99 | 1.01 | 0 | 107.071
0.99 | 1.01 | 0 | 107.071
0.99 | 1.01 | 0 | 107.335
0.99 | 1.01 | 0 | 107.335
0.99 | 1.01 | 0 | 107.314
0.99 | 1.01 | 0 | 107.314
0.99 | 1.01 | 1 | 107.071
0.99 | 1.01 | 1 | 107.071
0.99 | 1.01 | 1 | 107.335
0.99 | 1.01 | 1 | 107.335
0.99 | 1.01 | 1 | 107.314
0.99 | 1.01 | 1 | 107.314
0.99 | 1.01 | 2 | 108.376
1.00 | 1.00 | 0 | 107.071
1.00 | 1.00 | 0 | 107.071
1.00 | 1.00 | 0 | 107.335
1.00 | 1.00 | 0 | 107.335
1.00 | 1.00 | 0 | 107.314
1.00 | 1.00 | 0 | 107.314
1.00 | 1.00 | 1 | 107.071
1.00 | 1.00 | 1 | 107.071
1.00 | 1.00 | 1 | 107.335
1.00 | 1.00 | 1 | 107.335
1.00 | 1.00 | 1 | 107.314
1.00 | 1.00 | 1 | 107.314
1.00 | 1.00 | 2 | 108.376
