Otimização para pl em ATLAS - Limites: eps_1_mg_1_a1_1
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.91 | 1.0899999999999999 | 0 | 70 | 0.41247738844904236 ± 0.012838668191378633 | 0.07296742893026337 ± 0.0043451307534000255 | 1.65149031322405 ± 0.1778415616190825 | 1.4884193561898966 ± 0.3565884155417961 | 0.5036749239623268
0.91 | 1.0899999999999999 | 0 | 80 | 0.4127600513373906 ± 0.010006194157828469 | 0.07303131878923072 ± 0.003424735147367769 | 1.65107639762063 ± 0.1830549750477669 | 1.5263824059612026 ± 0.3770171341486886 | 0.5009707803207216
0.91 | 1.0899999999999999 | 1 | 70 | 0.41247738499416126 ± 0.012838740061202197 | 0.07296742798994928 ± 0.004345060670690293 | 1.6514903214421723 ± 0.17778364309916084 | 1.4884189237244687 ± 0.35646074651787546 | 0.5036749783594504
0.91 | 1.0899999999999999 | 1 | 80 | 0.4127600469883056 ± 0.010006383899572896 | 0.0730313177568871 ± 0.0034247972314230338 | 1.6510764125903756 ± 0.1830548414112667 | 1.526382071147709 ± 0.3770182187127313 | 0.5009707731770338
0.91 | 1.0899999999999999 | 2 | 70 | 0.4198794462530945 ± 0.014633223960217018 | 0.07527998440588037 ± 0.0050005973972549606 | 1.6236595069912585 ± 0.05873641905710414 | 1.7894313556301338 ± 0.5306531464926957 | 0.6055076760943914
0.91 | 1.0899999999999999 | 2 | 80 | 0.4198996311067385 ± 0.014752510007417285 | 0.07527539159184286 ± 0.005078152587307171 | 1.6236589883291042 ± 0.06000112184203055 | 1.7896071254241246 ± 0.5159619864117926 | 0.6051609916483485
0.91 | 1.0899999999999999 | 2 | 90 | 0.41800329870573477 ± 0.013671603225753032 | 0.07438714138183165 ± 0.005154822722266479 | 1.6203632780759138 ± 0.23444982647753987 | 1.877512121812958 ± 0.9099605091673855 | 0.5501770859713271
0.91 | 1.0899999999999999 | 2 | 100 | 0.41800329870573477 ± 0.013671603225753032 | 0.07438714138183165 ± 0.005154822722266479 | 1.6203632780759138 ± 0.23444982647753987 | 1.877512121812958 ± 0.9099605091673855 | 0.5501770859713271
0.92 | 1.08 | 0 | 70 | 0.4137980024602828 ± 0.00948595831214491 | 0.07325028752349375 ± 0.0032551996834510113 | 1.638268319706659 ± 0.047395863861181886 | 1.6060750607398528 ± 0.3100021462459982 | 0.5087404919804142
0.92 | 1.08 | 0 | 80 | 0.41424203081570643 ± 0.009695612042391472 | 0.07334617596383013 ± 0.0033356927731407193 | 1.6378758229666852 ± 0.16541015456949815 | 1.6500929549770063 ± 0.3222454670931361 | 0.5070273921183366
0.92 | 1.08 | 1 | 70 | 0.4137980011901095 ± 0.009485470884858987 | 0.07325028720905287 ± 0.0032550473087743226 | 1.6382683203803907 ± 0.04739582608160142 | 1.6060749426508223 ± 0.3099965774870477 | 0.5087404960538228
0.92 | 1.08 | 1 | 80 | 0.4142420295533389 ± 0.009695707035830808 | 0.07334617574733722 ± 0.0033357224495158336 | 1.6378758244409404 ± 0.16541004396984904 | 1.6500928127696057 ± 0.32224643282487375 | 0.5070273990380513
0.92 | 1.08 | 2 | 70 | 0.42021016723171617 ± 0.014337203194261378 | 0.07526632269107972 ± 0.004766661667218265 | 1.6115757691602115 ± 0.05185802591325883 | 1.860160174970226 ± 0.5076750196957939 | 0.6106939462573897
0.92 | 1.08 | 2 | 80 | 0.41913301504378775 ± 0.0034572026638285958 | 0.07459506372655872 ± 0.0020411156446657475 | 1.6113850017391005 ± 0.21996037668046198 | 1.9679639761450953 ± 1.2599165388286113 | 0.5768322442613182
0.92 | 1.08 | 2 | 90 | 0.41845170137199234 ± 0.003410680009959255 | 0.07434299088690652 ± 0.0017771094657432207 | 1.6131522070424693 ± 0.21489225604905515 | 1.9878833462602201 ± 1.2997284812976206 | 0.5594622953117285
0.93 | 1.0699999999999998 | 0 | 70 | 0.4153814976510116 ± 0.006731183376137373 | 0.07360666729397881 ± 0.0023035225450230568 | 1.6221902505106847 ± 0.03284907307687068 | 1.7639655208515954 ± 0.3250572054388439 | 0.52916523549591
0.93 | 1.0699999999999998 | 0 | 80 | 0.4154762387860183 ± 0.010471371462397294 | 0.07360002696619102 ± 0.0035365157872640843 | 1.622797329022824 ± 0.1318483420579003 | 1.7497233467966156 ± 0.3127419367063184 | 0.5175152268045591
0.93 | 1.0699999999999998 | 1 | 70 | 0.4153814976510116 ± 0.006731183376137373 | 0.07360666729397881 ± 0.0023035225450230568 | 1.6221902505106847 ± 0.03284907307687068 | 1.7639655208515954 ± 0.3250572054388439 | 0.52916523549591
0.93 | 1.0699999999999998 | 1 | 80 | 0.4154762387860183 ± 0.010471371462397294 | 0.07360002696619102 ± 0.0035365157872640843 | 1.622797329022824 ± 0.1318483420579003 | 1.7497233467966156 ± 0.3127419367063184 | 0.5175152268045591
0.93 | 1.0699999999999998 | 2 | 70 | 0.4199212501241117 ± 0.011063987003466141 | 0.0749779708087071 ± 0.003664984306301987 | 1.5980734654658262 ± 0.05092573749884177 | 1.982630257669719 ± 0.5609693100410681 | 0.6007862177754475
0.93 | 1.0699999999999998 | 2 | 80 | 0.4164426031387926 ± 0.007109083844380498 | 0.07359715601202858 ± 0.002222857663652482 | 1.5918960017299417 ± 0.06137814071566983 | 1.9738648587130885 ± 0.6529850622043187 | 0.5330881452983304
0.93 | 1.0699999999999998 | 2 | 90 | 0.4142106946945623 ± 0.006461512521256069 | 0.07272167853270003 ± 0.0016162353032537005 | 1.5881549252153426 ± 0.16317765666111217 | 1.9702284602332611 ± 0.8403411460288536 | 0.5015449283522894
0.94 | 1.06 | 0 | 70 | 0.4174650844024649 ± 0.008105048815647276 | 0.07413495266392428 ± 0.002781294404844946 | 1.6079802096152602 ± 0.11185637322141662 | 1.8979629352705383 ± 0.29505025142342356 | 0.5441679587092746
0.94 | 1.06 | 0 | 80 | 0.41690832328072075 ± 0.009400802792491031 | 0.07395865478271109 ± 0.003156484355945857 | 1.6073881506723238 ± 0.0371838993876592 | 1.8499792446754801 ± 0.30365345917384107 | 0.5397045057406834
0.94 | 1.06 | 0 | 90 | 0.4171241804148476 ± 0.013617959443989108 | 0.0739904524095445 ± 0.006120508085348045 | 1.6078307616559988 ± 0.11996162219344297 | 1.8706487091899446 ± 0.3323035891852866 | 0.5373545277512868
0.94 | 1.06 | 1 | 70 | 0.4174650844024649 ± 0.00810505996971686 | 0.07413495266392428 ± 0.0027812944184567936 | 1.6079802096152602 ± 0.11186046305372932 | 1.8979629352705383 ± 0.29506499348357335 | 0.5441679587092746
0.94 | 1.06 | 1 | 80 | 0.41690832349074247 ± 0.009400841262805909 | 0.07395865477644571 ± 0.0031564948621697064 | 1.6073881519708277 ± 0.037183935759089515 | 1.8499792405025408 ± 0.30365382412385433 | 0.539704499321809
