Otimização para pl em TOTEM - Limites: eps_0_mg_1_a1_1
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.91 | 1.0899999999999999 | 0 | 70 | 0.4482024962754193 ± 0.012063710509521514 | 0.08879467587613149 ± 0.004985541109824356 | 1.6945325642250866 ± 0.07971203948950234 | 2.0211344027624163 ± 0.31314743693193176 | 0.6375677539887965
0.91 | 1.0899999999999999 | 0 | 80 | 0.44889785379331776 ± 0.0009958978134251284 | 0.08860466583117002 ± 0.0003555542580057339 | 1.6562098799818965 ± 0.02018240718176101 | 2.1861315833250674 ± 0.09136649424773632 | 0.5910939810871096
0.91 | 1.0899999999999999 | 0 | 90 | 0.44889785379331776 ± 0.0009958978134251284 | 0.08860466583117002 ± 0.0003555542580057339 | 1.6562098799818965 ± 0.02018240718176101 | 2.1861315833250674 ± 0.09136649424773632 | 0.5910939810871096
0.91 | 1.0899999999999999 | 0 | 100 | 0.44946654705126404 ± 0.0009843091460819409 | 0.08845547980368487 ± 0.0003508222066775461 | 1.621100964461121 ± 0.019971327318375476 | 2.3462921270794794 ± 0.09077184283691514 | 0.5544292477423467
0.91 | 1.0899999999999999 | 0 | 150 | 0.449708356074264 ± 0.015012227225677688 | 0.08839157714858883 ± 0.006214326032322876 | 1.606024037288528 ± 0.08859060590758927 | 2.405605738970197 ± 0.35420652801885644 | 0.548157809440383
0.91 | 1.0899999999999999 | 0 | 200 | 0.44930182097202304 ± 0.017838223404538472 | 0.08811443713301853 ± 0.0068774571432069186 | 1.59294841389573 ± 0.05225781801787455 | 2.4598615645260082 ± 0.16899917313368978 | 0.5460278775352357
0.91 | 1.0899999999999999 | 0 | 250 | 0.4384496431368089 ± 0.006570487069417347 | 0.08409834404092217 ± 0.002466024213133705 | 1.5740156457234178 ± 0.02602077607660591 | 2.4874420529009242 ± 0.10871508463127899 | 0.5001527066998176
0.91 | 1.0899999999999999 | 1 | 70 | 0.4482024962754193 ± 0.012063710509521514 | 0.08879467587613149 ± 0.004985541109824356 | 1.6945325642250866 ± 0.07971203948950234 | 2.0211344027624163 ± 0.31314743693193176 | 0.6375677539887965
0.91 | 1.0899999999999999 | 1 | 80 | 0.44889785379331776 ± 0.0009958978134251284 | 0.08860466583117002 ± 0.0003555542580057339 | 1.6562098799818965 ± 0.02018240718176101 | 2.1861315833250674 ± 0.09136649424773632 | 0.5910939810871096
