down | strategy | ncall | sigma_tot
0.91 | 0.00 | 70 | 104.175
0.91 | 1.00 | 70 | 104.175
0.91 | 2.00 | 70 | 103.915
0.91 | 2.00 | 80 | 103.915
0.92 | 0.00 | 70 | 104.091
0.92 | 0.00 | 80 | 104.161
0.92 | 1.00 | 70 | 104.091
0.92 | 1.00 | 80 | 104.161
0.92 | 2.00 | 70 | 103.824
0.93 | 0.00 | 70 | 103.998
0.93 | 0.00 | 80 | 103.980
0.93 | 1.00 | 70 | 103.998
0.93 | 1.00 | 80 | 103.980
0.93 | 2.00 | 70 | 104.263
0.93 | 2.00 | 80 | 104.263
0.94 | 0.00 | 70 | 103.914
0.94 | 0.00 | 80 | 103.836
0.94 | 0.00 | 90 | 103.777
0.94 | 1.00 | 70 | 103.914
0.94 | 1.00 | 80 | 103.836
0.94 | 1.00 | 90 | 103.777
0.94 | 2.00 | 70 | 104.341
0.94 | 2.00 | 80 | 104.341
0.95 | 0.00 | 70 | 103.789
0.95 | 0.00 | 80 | 103.695
0.95 | 0.00 | 90 | 103.637
0.95 | 1.00 | 70 | 103.789
0.95 | 1.00 | 80 | 103.695
0.95 | 1.00 | 90 | 103.637
0.95 | 2.00 | 70 | 104.181
0.95 | 2.00 | 80 | 104.181
0.96 | 0.00 | 70 | 103.566
0.96 | 0.00 | 80 | 103.474
0.96 | 0.00 | 90 | 103.374
0.96 | 1.00 | 70 | 103.566
0.96 | 1.00 | 80 | 103.474
0.96 | 1.00 | 90 | 103.374
0.96 | 2.00 | 70 | 103.985
0.96 | 2.00 | 80 | 103.985
0.97 | 0.00 | 70 | 103.528
0.97 | 0.00 | 80 | 103.579
0.97 | 1.00 | 70 | 103.528
0.97 | 1.00 | 80 | 103.579
0.97 | 2.00 | 70 | 103.525
0.97 | 2.00 | 80 | 103.363
0.97 | 2.00 | 90 | 103.363
0.98 | 0.00 | 70 | 103.405
0.98 | 0.00 | 80 | 103.405
0.98 | 0.00 | 90 | 102.961
0.98 | 0.00 | 100 | 102.870
0.98 | 1.00 | 70 | 103.442
0.98 | 1.00 | 80 | 103.405
0.98 | 1.00 | 90 | 102.961
0.98 | 1.00 | 100 | 102.870
0.98 | 2.00 | 70 | 103.172
0.98 | 2.00 | 80 | 103.009
0.98 | 2.00 | 90 | 103.009
0.98 | 2.00 | 100 | 103.087
0.98 | 2.00 | 150 | 103.072
0.99 | 0.00 | 70 | 103.311
0.99 | 0.00 | 80 | 103.316
0.99 | 1.00 | 70 | 103.311
0.99 | 1.00 | 80 | 103.316
0.99 | 2.00 | 70 | 103.080
0.99 | 2.00 | 80 | 102.950
0.99 | 2.00 | 90 | 102.950
0.99 | 2.00 | 100 | 103.662
