down | strategy | ncall | sigma_tot
0.91 | 1.09 | 0 | 103.375
0.91 | 1.09 | 0 | 103.375
0.91 | 1.09 | 0 | 103.375
0.91 | 1.09 | 1 | 104.041
0.91 | 1.09 | 1 | 103.375
0.91 | 1.09 | 1 | 103.375
0.91 | 1.09 | 1 | 103.375
0.92 | 1.08 | 0 | 103.375
0.92 | 1.08 | 0 | 103.375
0.92 | 1.08 | 0 | 103.375
0.92 | 1.08 | 1 | 104.041
0.92 | 1.08 | 1 | 103.375
0.92 | 1.08 | 1 | 103.375
0.92 | 1.08 | 1 | 103.375
0.93 | 1.07 | 0 | 103.375
0.93 | 1.07 | 0 | 103.375
0.93 | 1.07 | 0 | 103.375
0.93 | 1.07 | 1 | 104.041
0.93 | 1.07 | 1 | 103.375
0.93 | 1.07 | 1 | 103.375
0.93 | 1.07 | 1 | 103.375
0.94 | 1.06 | 0 | 103.375
0.94 | 1.06 | 0 | 103.375
0.94 | 1.06 | 0 | 103.375
0.94 | 1.06 | 1 | 104.041
0.94 | 1.06 | 1 | 103.375
0.94 | 1.06 | 1 | 103.375
0.94 | 1.06 | 1 | 103.375
0.95 | 1.05 | 0 | 103.375
0.95 | 1.05 | 0 | 103.375
0.95 | 1.05 | 0 | 103.375
0.95 | 1.05 | 1 | 104.041
0.95 | 1.05 | 1 | 103.375
0.95 | 1.05 | 1 | 103.375
0.95 | 1.05 | 1 | 103.375
0.96 | 1.04 | 0 | 103.375
0.96 | 1.04 | 0 | 103.375
0.96 | 1.04 | 0 | 103.375
0.96 | 1.04 | 1 | 104.041
0.96 | 1.04 | 1 | 103.375
0.96 | 1.04 | 1 | 103.375
0.96 | 1.04 | 1 | 103.375
0.97 | 1.03 | 0 | 103.375
0.97 | 1.03 | 0 | 103.375
0.97 | 1.03 | 0 | 103.375
0.97 | 1.03 | 1 | 104.041
0.97 | 1.03 | 1 | 103.375
0.97 | 1.03 | 1 | 103.375
0.97 | 1.03 | 1 | 103.375
0.98 | 1.02 | 0 | 103.375
0.98 | 1.02 | 0 | 103.375
0.98 | 1.02 | 0 | 103.375
0.98 | 1.02 | 1 | 104.041
0.98 | 1.02 | 1 | 103.375
0.98 | 1.02 | 1 | 103.375
0.98 | 1.02 | 1 | 103.375
0.99 | 1.01 | 0 | 103.375
0.99 | 1.01 | 0 | 103.375
0.99 | 1.01 | 0 | 103.375
0.99 | 1.01 | 1 | 104.041
0.99 | 1.01 | 1 | 103.375
0.99 | 1.01 | 1 | 103.375
0.99 | 1.01 | 1 | 103.375
1.00 | 1.00 | 0 | 103.375
1.00 | 1.00 | 0 | 103.375
1.00 | 1.00 | 0 | 103.375
1.00 | 1.00 | 1 | 104.041
1.00 | 1.00 | 1 | 103.375
1.00 | 1.00 | 1 | 103.375
1.00 | 1.00 | 1 | 103.375
