Otimização para log em TOTEM - Limites: mg=0, eps=0, a1=1, a2=0
Configuração: down | up | strategy | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
========================================================================================================================
0.9 | 1.1 | 0 | 70 | 0.38327873850323063 ± 0.006397841902916846 | 0.08768586397876232 ± 0.0029110271718625655 | 1.5625293068253625 ± 0.028942106873071083 | 3.599064219616541 ± 0.12906079758413846 | 0.6616305587744693
0.9 | 1.1 | 0 | 90 | 0.3828848082437275 ± 0.004460731740291097 | 0.08776406157811525 ± 0.001985989551045264 | 1.5882825316646603 ± 0.015911360984818712 | 3.468529172806467 ± 0.07621671052305316 | 0.5871380098328651
0.9 | 1.1 | 0 | 100 | 0.3828848082437275 ± 0.004460731740291097 | 0.08776406157811525 ± 0.001985989551045264 | 1.5882825316646603 ± 0.015911360984818712 | 3.468529172806467 ± 0.07621671052305316 | 0.5871380098328651
0.9 | 1.1 | 1 | 70 | 0.38327873843476196 ± 0.006397436562736291 | 0.08768586401086281 ± 0.0029108374197378928 | 1.5625293130255877 ± 0.02894179647842965 | 3.599064195015913 ± 0.12905957587557942 | 0.661630535016801
0.9 | 1.1 | 1 | 90 | 0.38288480821888465 ± 0.004459659680589767 | 0.08776406159748174 ± 0.0019855106239922288 | 1.58828253458082 ± 0.015911258762830283 | 3.468529162181397 ± 0.07621644531184599 | 0.5871379990190466
0.9 | 1.1 | 1 | 100 | 0.38288480821888465 ± 0.004459659680589767 | 0.08776406159748174 ± 0.0019855106239922288 | 1.58828253458082 ± 0.015911258762830283 | 3.468529162181397 ± 0.07621644531184599 | 0.5871379990190466
0.91 | 1.0899999999999999 | 0 | 70 | 0.38328001861787886 ± 0.006381356618955184 | 0.08768507681817109 ± 0.0028882187549636768 | 1.562423398388277 ± 0.026209117290221018 | 3.599252633360399 ± 0.1177026929460353 | 0.661980261384854
0.91 | 1.0899999999999999 | 0 | 90 | 0.3829686101162907 ± 0.004877785434655795 | 0.087742755855635 ± 0.002171222852539092 | 1.5825435295685424 ± 0.01573099600370509 | 3.497340422941689 ± 0.07530827123085579 | 0.598468940642079
0.91 | 1.0899999999999999 | 0 | 100 | 0.3827981944892815 ± 0.003941646758726195 | 0.0877743004481315 ± 0.0017467016542895815 | 1.5921580323563171 ± 0.011327557356240248 | 3.4559092019990985 ± 0.058837191780724864 | 0.5810344428829085
0.91 | 1.0899999999999999 | 0 | 150 | 0.3824862707366995 ± 0.007955473739729959 | 0.08780194552864916 ± 0.003541206694560194 | 1.6109979841033195 ± 0.015160814652267818 | 3.37810802875481 ± 0.07304294641210503 | 0.50203521230775
0.91 | 1.0899999999999999 | 1 | 70 | 0.3832800185375949 ± 0.006381950100902213 | 0.0876850768557822 ± 0.0028884816750185736 | 1.5624234056698727 ± 0.02620933158213412 | 3.5992526044383397 ± 0.11770355980301458 | 0.6619802333815282
