Otimização para pl em TOTEM - Limites: eps_0_mg_0_a1_0_a2_0
Configuração: down | up | strategy | tol | migrad | mg ± error | eps ± error | a1 ± error | a2 ± error | χ²/ndof
======================================================================================================================================================
0.95 | 1.05 | 0 | 1e-02 | 300 | 0.457684 ± 0.007256 | 0.092732 ± 0.002231 | 1.759053 ± 0.011976 | 1.785000 ± 0.105624 | 0.743877
0.95 | 1.05 | 0 | 1e-02 | 400 | 0.457693 ± 0.006874 | 0.092736 ± 0.002145 | 1.759069 ± 0.011545 | 1.785000 ± 0.105715 | 0.743877
0.95 | 1.05 | 0 | 1e-02 | 500 | 0.457697 ± 0.007016 | 0.092737 ± 0.002177 | 1.759070 ± 0.011703 | 1.785000 ± 0.105665 | 0.743877
0.95 | 1.05 | 0 | 1e-02 | 600 | 0.457697 ± 0.007016 | 0.092737 ± 0.002177 | 1.759070 ± 0.011703 | 1.785000 ± 0.105665 | 0.743877
0.95 | 1.05 | 0 | 1e-02 | 700 | 0.457697 ± 0.007016 | 0.092737 ± 0.002177 | 1.759070 ± 0.011703 | 1.785000 ± 0.105665 | 0.743877
0.95 | 1.05 | 0 | 1e-02 | 800 | 0.457697 ± 0.007016 | 0.092737 ± 0.002177 | 1.759070 ± 0.011703 | 1.785000 ± 0.105665 | 0.743877
0.95 | 1.05 | 1 | 5e+00 | 300 | 0.456106 ± 0.003785 | 0.092175 ± 0.001306 | 1.756985 ± 0.008661 | 1.785000 ± 0.106559 | 0.744626
0.95 | 1.05 | 1 | 1e+00 | 300 | 0.457118 ± 0.005479 | 0.092533 ± 0.001816 | 1.758314 ± 0.010096 | 1.784995 ± 0.105367 | 0.743972
0.95 | 1.05 | 1 | 1e-01 | 300 | 0.457551 ± 0.006704 | 0.092685 ± 0.002118 | 1.758874 ± 0.011363 | 1.785000 ± 0.105784 | 0.743883
0.95 | 1.05 | 1 | 1e-02 | 300 | 0.457663 ± 0.007582 | 0.092725 ± 0.006425 | 1.759025 ± 0.012356 | 1.785000 ± 0.105682 | 0.743877
0.95 | 1.05 | 1 | 5e+00 | 400 | 0.456641 ± 0.006314 | 0.092363 ± 0.002074 | 1.757565 ± 0.010935 | 1.784999 ± 0.104692 | 0.744174
0.95 | 1.05 | 1 | 1e+00 | 400 | 0.457292 ± 0.005660 | 0.092594 ± 0.001860 | 1.758532 ± 0.010266 | 1.785000 ± 0.105808 | 0.743923
