# b [GeV^-1]    Re(chi)    Im(chi)
#
   0.00000000E+00   0.00000000E+00   0.12267082E+02
   0.10000000E+00   0.00000000E+00   0.12264077E+02
   0.20000000E+00   0.00000000E+00   0.12255066E+02
   0.30000000E+00   0.00000000E+00   0.12240061E+02
   0.40000000E+00   0.00000000E+00   0.12219085E+02
   0.50000000E+00   0.00000000E+00   0.12192167E+02
   0.60000000E+00   0.00000000E+00   0.12159345E+02
   0.70000000E+00   0.00000000E+00   0.12120666E+02
   0.80000000E+00   0.00000000E+00   0.12076184E+02
   0.90000000E+00   0.00000000E+00   0.12025964E+02
   0.10000000E+01   0.00000000E+00   0.11970075E+02
   0.11000000E+01   0.00000000E+00   0.11908596E+02
   0.12000000E+01   0.00000000E+00   0.11841614E+02
   0.13000000E+01   0.00000000E+00   0.11769222E+02
   0.14000000E+01   0.00000000E+00   0.11691522E+02
   0.15000000E+01   0.00000000E+00   0.11608620E+02
   0.16000000E+01   0.00000000E+00   0.11520633E+02
   0.17000000E+01   0.00000000E+00   0.11427681E+02
   0.18000000E+01   0.00000000E+00   0.11329891E+02
   0.19000000E+01   0.00000000E+00   0.11227397E+02
   0.20000000E+01   0.00000000E+00   0.11120338E+02
   0.21000000E+01   0.00000000E+00   0.11008858E+02
   0.22000000E+01   0.00000000E+00   0.10893107E+02
   0.23000000E+01   0.00000000E+00   0.10773238E+02
   0.24000000E+01   0.00000000E+00   0.10649411E+02
   0.25000000E+01   0.00000000E+00   0.10521788E+02
   0.26000000E+01   0.00000000E+00   0.10390534E+02
   0.27000000E+01   0.00000000E+00   0.10255821E+02
   0.28000000E+01   0.00000000E+00   0.10117819E+02
   0.29000000E+01   0.00000000E+00   0.99767058E+01
   0.30000000E+01   0.00000000E+00   0.98326575E+01
   0.31000000E+01   0.00000000E+00   0.96858539E+01
   0.32000000E+01   0.00000000E+00   0.95364761E+01
   0.33000000E+01   0.00000000E+00   0.93847066E+01
   0.34000000E+01   0.00000000E+00   0.92307283E+01
   0.35000000E+01   0.00000000E+00   0.90747251E+01
   0.36000000E+01   0.00000000E+00   0.89168807E+01
   0.37000000E+01   0.00000000E+00   0.87573787E+01
   0.38000000E+01   0.00000000E+00   0.85964024E+01
   0.39000000E+01   0.00000000E+00   0.84341337E+01
   0.40000000E+01   0.00000000E+00   0.82707539E+01
   0.41000000E+01   0.00000000E+00   0.81064424E+01
   0.42000000E+01   0.00000000E+00   0.79413768E+01
   0.43000000E+01   0.00000000E+00   0.77757327E+01
   0.44000000E+01   0.00000000E+00   0.76096832E+01
   0.45000000E+01   0.00000000E+00   0.74433986E+01
   0.46000000E+01   0.00000000E+00   0.72770464E+01
   0.47000000E+01   0.00000000E+00   0.71107907E+01
   0.48000000E+01   0.00000000E+00   0.69447922E+01
   0.49000000E+01   0.00000000E+00   0.67792077E+01
   0.50000000E+01   0.00000000E+00   0.66141903E+01
   0.51000000E+01   0.00000000E+00   0.64498888E+01
   0.52000000E+01   0.00000000E+00   0.62864475E+01
   0.53000000E+01   0.00000000E+00   0.61240065E+01
   0.54000000E+01   0.00000000E+00   0.59627009E+01
   0.55000000E+01   0.00000000E+00   0.58026611E+01
   0.56000000E+01   0.00000000E+00   0.56440125E+01
   0.57000000E+01   0.00000000E+00   0.54868752E+01
   0.58000000E+01   0.00000000E+00   0.53313643E+01
   0.59000000E+01   0.00000000E+00   0.51775895E+01
   0.60000000E+01   0.00000000E+00   0.50256550E+01
   0.61000000E+01   0.00000000E+00   0.48756596E+01
   0.62000000E+01   0.00000000E+00   0.47276966E+01
